severity,drawing_number,drawing_id,year,anomaly_type,scope,db_value,raw_best_value,root_cause_class,root_cause_reason,evidence_sources
WARN,2785,228,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2786,229,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2786,229,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2787,230,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2787,230,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2788,231,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2788,231,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2789,232,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2789,232,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2790,233,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2790,233,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2790,233,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2791,234,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2791,234,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2792,235,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2792,235,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2793,236,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2793,236,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2794,237,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2794,237,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2795,238,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2795,238,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2796,239,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2796,239,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2797,240,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2797,240,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2798,241,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2798,241,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2799,242,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2799,242,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2800,243,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2800,243,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2801,244,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2801,244,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2801,244,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2802,245,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2802,245,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2803,246,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2803,246,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2803,246,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2804,247,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2804,247,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2805,248,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2805,248,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2806,249,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2806,249,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2807,250,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2807,250,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2807,250,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2808,251,2020,finished_results_incomplete,events.result,"resolved=13,void=0,missing=2,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2808,251,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2808,251,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2809,252,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2809,252,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2809,252,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2810,253,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2810,253,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2811,254,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2811,254,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2812,255,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2812,255,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2813,256,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2813,256,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2814,257,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2814,257,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2814,257,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2815,258,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2815,258,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2816,259,2020,finished_results_incomplete,events.result,"resolved=12,void=0,missing=3,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2816,259,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2816,259,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2817,260,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2817,260,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2817,260,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2818,261,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2818,261,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2819,262,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2819,262,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2820,263,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2820,263,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2820,263,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2821,264,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2821,264,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2822,265,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2822,265,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2823,266,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2823,266,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2824,267,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2824,267,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2825,268,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2825,268,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2826,269,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2826,269,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2827,270,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2827,270,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2828,271,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2828,271,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2828,271,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2829,272,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2829,272,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2829,272,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2830,273,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2830,273,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2831,274,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2831,274,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2832,275,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2832,275,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2833,276,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2833,276,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2834,277,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2834,277,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2834,277,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2835,278,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2835,278,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2836,279,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2836,279,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2837,280,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2837,280,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2838,281,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2838,281,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2839,282,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2839,282,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2840,283,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2840,283,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2841,284,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2841,284,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2842,285,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2842,285,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2843,286,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2843,286,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2844,287,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2844,287,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2845,288,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2845,288,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2845,288,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2846,289,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2846,289,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2847,290,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2847,290,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2847,290,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2848,291,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2848,291,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2849,292,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2849,292,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2849,292,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2850,293,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2850,293,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2850,293,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
WARN,2851,294,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2851,294,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2852,295,2020,finished_results_incomplete,events.result,"resolved=13,void=0,missing=2,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2852,295,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
WARN,2852,295,2020,immutable_result_snapshot_absent,drawing_result_snapshots,0,,C,no immutable result snapshot and no local RAW result evidence,
ERROR,2853,296,2020,finished_results_incomplete,events.result,"resolved=14,void=0,missing=1,invalid=0",,C,no local RAW/API snapshot is available,
WARN,2853,296,2020,raw_snapshot_absent,raw_provenance,SQLite rows exist,0,C,no local saved TotoBrief detail snapshot was found,
